feature,importance_mean,importance_std
2A,0.0,0.0
TS3A,0.0,0.0
3A,0.0,0.0
4A,0.0,0.0
TS5A,0.0,0.0
5A,0.0,0.0
H1,0.0,0.0
TSH2,0.0,0.0
H3,0.0,0.0
WBI_2A,0.0,0.0
WBI_TS3A,0.0,0.0
WBI_3A,0.0,0.0
WBI_4A,0.0,0.0
E2_int2A,0.0,0.0
E2_TS3A,0.0,0.0
E2_int3A,0.0,0.0
E2_int4A,0.0,0.0
TS3A_3A,0.0,0.0
3A_4A,0.0,0.0
4A_5A,0.0,0.0
E_DEF_frag1_2A,0.0,0.0
E_DEF_frag2_2A,0.0,0.0
E_SE_frag1_2A,0.0,0.0
E_int_2A,0.0,0.0
E_DEF_frag1_3A,0.0,0.0
E_DEF_frag2_3A,0.0,0.0
E_SE_frag2_3A,0.0,0.0
E_elec_3A,0.0,0.0
E_POL_4A,0.0,0.0
E_DEF_frag1_4A,0.0,0.0
E_DEF_frag2_4A,0.0,0.0
E_SE_frag1_4A,0.0,0.0
E_elec_4A,0.0,0.0
E_core_4A,0.0,0.0
E_int_4A,0.0,0.0
E_CT_5A,0.0,0.0
E_ES_5A,0.0,0.0
E_POL_5A,0.0,0.0
E_XC_5A,0.0,0.0
E_DEF_frag1_5A,0.0,0.0
E_SE_frag1_5A,0.0,0.0
E_SE_frag2_5A,0.0,0.0
E_core_5A,0.0,0.0
E_int_5A,0.0,0.0
E_CT_H1,0.0,0.0
E_ES_H1,0.0,0.0
E_POL_H1,0.0,0.0
E_XC_H1,0.0,0.0
E_DEF_frag1_H1,0.0,0.0
E_DEF_frag2_H1,0.0,0.0
E_SE_frag1_H1,0.0,0.0
E_elec_H1,0.0,0.0
E_core_H1,0.0,0.0
E_int_H1,0.0,0.0
E_ES_H3,0.0,0.0
E_POL_H3,0.0,0.0
E_DEF_frag1_H3,0.0,0.0
E_DEF_frag2_H3,0.0,0.0
E_SE_frag1_H3,0.0,0.0
E_SE_frag2_H3,0.0,0.0
E_elec_H3,0.0,0.0
E_core_H3,0.0,0.0
E_int_H3,0.0,0.0
E_CT_TS3A,0.0,0.0
E_ES_TS3A,0.0,0.0
E_POL_TS3A,0.0,0.0
E_XC_TS3A,0.0,0.0
E_DEF_frag1_TS3A,0.0,0.0
E_DEF_frag2_TS3A,0.0,0.0
E_SE_frag1_TS3A,0.0,0.0
E_int_TS3A,0.0,0.0
E_CT_TS5A,0.0,0.0
E_ES_TS5A,0.0,0.0
E_POL_TS5A,0.0,0.0
E_XC_TS5A,0.0,0.0
E_DEF_frag1_TS5A,0.0,0.0
E_DEF_frag2_TS5A,0.0,0.0
E_SE_frag1_TS5A,0.0,0.0
E_SE_frag2_TS5A,0.0,0.0
E_elec_TS5A,0.0,0.0
E_core_TS5A,0.0,0.0
E_int_TS5A,0.0,0.0
E_CT_TSH2,0.0,0.0
E_POL_TSH2,0.0,0.0
E_XC_TSH2,0.0,0.0
E_DEF_frag1_TSH2,0.0,0.0
E_SE_frag1_TSH2,0.0,0.0
E_SE_frag2_TSH2,0.0,0.0
E_elec_TSH2,0.0,0.0
E_int_TSH2,0.0,0.0
hyd4,0.0,0.0
Ex_NLMO(1)_2A,0.0,0.0
E_pwx(1)_2A,0.0,0.0
"E_pwx(1,2)_2A",0.0,0.0
SUMEx_NLMO_2A,0.0,0.0
SUME_pwx_2A,0.0,0.0
Ex_NLMO(1)_TS3A,0.0,0.0
E_pwx(1)_TS3A,0.0,0.0
"E_pwx(1,2)_TS3A",0.0,0.0
SUMEx_NLMO_TS3A,0.0,0.0
SUME_pwx_TS3A,0.0,0.0
Ex_NLMO(1)_3A,0.0,0.0
E_pwx(1)_3A,0.0,0.0
"E_pwx(1,2)_3A",0.0,0.0
Ex_NLMO(1)_4A,0.0,0.0
E_pwx(1)_4A,0.0,0.0
"E_pwx(1,2)_4A",0.0,0.0
Ex_NLMO(1)_5A,0.0,0.0
Ex_NLMO(3)_5A,0.0,0.0
E_pwx(1)_5A,0.0,0.0
"E_pwx(1,2)_5A",0.0,0.0
"E_pwx(1,3)_5A",0.0,0.0
"E_pwx(2,3)_5A",0.0,0.0
barrier_inhibitive,0.0,0.0
