,LASSO,RF,mean_rank
E_SE_frag2_TSH2,1.0,0.06622043176624369,0.5331102158831218
E2_int2A,0.0,1.0,0.5
TS3A_3A,0.33726103298414256,0.4690829862557783,0.40317200961996047
4A,0.5580907774742367,0.00044238992957519054,0.279266583701906
H1,0.376495867506812,0.17788419156886992,0.277190029537841
hyd4,0.377542501860385,0.10175614054441341,0.2396493212023992
E_SE_frag1_5A,0.40618624857203345,0.06632084957368228,0.23625354907285787
"E_pwx(2,3)_5A",0.26829672762137824,0.00970981775500369,0.13900327268819096
E2_TS3A,0.2758489573326575,-1.7182173090810696e-05,0.13791588757978335
E_DEF_frag1_TS5A,0.257043715785811,0.00010410310093279563,0.12857390944337188
WBI_4A,0.22099970033122093,0.007360666680886032,0.11418018350605348
TSH2,0.21311674735797445,0.008220721993868179,0.11066873467592131
3A_4A,0.13416417011055376,0.06132595162194707,0.09774506086625041
E_int_2A,0.0,0.19229181477943058,0.09614590738971529
E_pwx(1)_5A,0.16659947270316272,0.024249386077741842,0.09542442939045229
E_ES_H1,0.17512088049895638,-0.00013071355457175375,0.08749508347219231
E_SE_frag2_TS5A,0.11180167022739908,0.003875246536280681,0.05783845838183988
E_SE_frag2_3A,0.08206114682952906,0.02672991155628346,0.05439552919290626
WBI_3A,0.0,0.10021816918262401,0.050109084591312004
WBI_2A,0.0,0.094848932885489,0.0474244664427445
E_ES_H3,0.07964822714414105,0.0012752879182460247,0.040461757531193535
E_core_H1,0.07540726907706259,0.0031228606182699715,0.03926506484766628
H3,0.0,0.07556102124884541,0.037780510624422704
TS5A,0.02073042241481767,0.05133746914955247,0.03603394578218507
"E_pwx(1,3)_5A",0.06969603453693587,0.002130720584094875,0.035913377560515373
E_SE_frag2_H3,0.0606399576277835,0.004179108239768575,0.03240953293377604
E_DEF_frag2_2A,0.0,0.05808229570767643,0.029041147853838215
E_int_H1,0.0540452684799945,0.0018072599263072814,0.02792626420315089
E_elec_H1,0.05544652047084789,-1.195839397294402e-17,0.027723260235423937
Ex_NLMO(1)_5A,0.04842741606705094,0.006791035159093476,0.02760922561307221
E_POL_TSH2,0.0,0.04274503575436589,0.021372517877182945
E_DEF_frag1_TSH2,0.0,0.03617656305634375,0.018088281528171875
E_int_4A,0.0,0.031336947495246015,0.015668473747623007
E_ES_TS3A,0.0,0.0298658656070286,0.0149329328035143
E_POL_4A,0.0,0.025486251632709015,0.012743125816354508
E_SE_frag1_4A,0.0,0.024176122900359313,0.012088061450179656
E2_int4A,0.02103893370729493,0.0023332427820450096,0.011686088244669969
E_DEF_frag2_H1,0.0,0.022538702798000295,0.011269351399000148
E_CT_TS3A,0.020276674461528484,0.00047750951600228537,0.010377091988765385
Ex_NLMO(1)_3A,0.020342142790840224,0.00022357225416759784,0.010282857522503911
E_elec_TSH2,0.0,0.01554385237526219,0.007771926187631095
E_DEF_frag2_3A,0.0,0.014515786193685484,0.007257893096842742
E_POL_H1,0.0,0.01179035304904264,0.00589517652452132
E_int_5A,0.0,0.011552913471150264,0.005776456735575132
E_CT_TS5A,0.0,0.011340210405571649,0.0056701052027858245
E_SE_frag1_TSH2,0.0,0.011183212852471692,0.005591606426235846
E_DEF_frag1_TS3A,0.0,0.009738406634847197,0.004869203317423599
