amine,Vbur_pct,MeOH_yield
ISBZ,22.15279071934402,1.23
DBUA,22.141725680208722,1.29
EAE,21.99089172568021,3.39
DEA,21.83481643682445,0.0
BMAE,20.225726798360043,3.36
THQ,19.942694744688783,84.65
BEMT,19.931629705553487,14.47
OTL,19.608996459187477,38.84
DADP,19.24850913156914,2.01
AMP,19.021967014535967,17.09
BOX,18.822796310100635,6.97
BENZ,18.636437756243012,0.4
NMA,18.401160081997762,77.23
MTL,18.114051434960864,19.4
DEGE,17.47810286992173,0.65
DEPA,17.47227916511368,2.78
INDO,17.430930860976517,84.63
DMDP,17.248648900484532,7.45
PIP,16.76353428997391,60.25
DETA,16.755963473723444,11.02
OCTA,16.726262579202388,1.95
MEPI,16.651719157659336,28.07
DMEDA,16.56494595601938,3.37
MOR,16.536409802459932,33.35
EDA,14.462588520313084,0.18
METOX,14.282636041744315,0.0
