label,state,amine,radius,Vbur_pct,Vbur_abs,Vfree,Q_NE,Q_NW,Q_SW,Q_SE
2A_AMP,2A,AMP,3.0,0.19862745828367104,22.464236294826986,90.63309923440556,33.63006555423123,45.82091775923719,0.0,0.0
2A_BEMT,2A,BEMT,3.0,0.1989719904648391,22.503201966521168,90.59413356271139,33.94666269368295,45.64213349225268,0.0,0.0
2A_BENZ,2A,BENZ,3.0,0.17011509237187128,19.239563680567915,93.85777184866464,33.51087604290822,34.535160905840286,0.0,0.0
2A_BMAE,2A,BMAE,3.0,0.20054566448152564,22.6811803048,90.41615522443254,38.81480929678189,41.403456495828365,0.0,0.0
2A_BOX,2A,BOX,3.0,0.17789034564958284,20.118924109342025,92.97841141989053,35.63021454112038,35.525923718712754,0.0,0.0
2A_DADP,2A,DADP,3.0,0.19662544696066747,22.23781414849593,90.85952138073662,34.56868295589988,44.0814958283671,0.0,0.0
2A_DBUA,2A,DBUA,3.0,0.21645932657926104,24.48097308656641,88.61636244266614,34.27070917759237,52.31302145411203,0.0,0.0
2A_DEA,2A,DEA,3.0,0.21337716030989273,24.13238829384278,88.96494723538977,34.36382598331347,50.98703814064362,0.0,0.0
2A_DEGE,2A,DEGE,3.0,0.1822947705601907,20.61705283127035,92.4802826979622,35.35831346841478,37.5595947556615,0.0,0.0
2A_DEPA,2A,DEPA,3.0,0.18202473182359952,20.586512169672208,92.51082335956035,35.26519666269368,37.54469606674613,0.0,0.0
2A_DETA,2A,DETA,3.0,0.16354104588796187,18.49605653959244,94.60127898964011,32.28918355184744,33.12723480333731,0.0,0.0
2A_DMDP,2A,DMDP,3.0,0.18110287544696066,20.48225266973372,92.61508285949883,32.829261025029794,39.61188915375447,0.0,0.0
2A_DMEDA,2A,DMEDA,3.0,0.1608685935637664,18.193809302397028,94.90352622683552,31.12336114421931,33.224076281287246,0.0,0.0
2A_EAE,2A,EAE,3.0,0.2148856525625745,24.302994748287578,88.79434078094498,33.842371871275326,52.111889153754476,0.0,0.0
2A_EDA,2A,EDA,3.0,0.14442416567342073,16.333988323696335,96.76334720553622,26.460071513706794,31.3095947556615,0.0,0.0
2A_INDO,2A,INDO,3.0,0.15776780393325388,17.84311825714939,95.25421727208317,31.51445172824792,31.592669845053635,0.0,0.0
2A_ISBZ,2A,ISBZ,3.0,0.21399173122765197,24.201894627135108,88.89544090209745,38.591328963051254,47.00536352800954,0.0,0.0
2A_MEPI,2A,MEPI,3.0,0.15880140047675806,17.960015272231935,95.13732025700062,27.838200238379024,35.6823599523242,0.0,0.0
2A_METOX,2A,METOX,3.0,0.14334401072705602,16.211825677303764,96.88550985192879,28.631555423122766,28.706048867699643,0.0,0.0
2A_MOR,2A,MOR,3.0,0.15762812872467222,17.827321363219312,95.27001416601324,27.71156138259833,35.339690107270556,0.0,0.0
2A_MTL,2A,MTL,3.0,0.18298383492252682,20.694984174658718,92.40235135457384,35.11620977353993,38.077324195470794,0.0,0.0
2A_NMA,2A,NMA,3.0,0.1696774433849821,19.19006674625368,93.90726878297887,32.45679380214541,35.41418355184744,0.0,0.0
2A_OCTA,2A,OCTA,3.0,0.16293578665077474,18.42760333256212,94.66973219667042,31.845947556615016,33.32836710369487,0.0,0.0
2A_OTL,2A,OTL,3.0,0.19543355184743744,22.103013986959297,90.99432154227325,36.14794398092968,42.025476758045286,0.0,0.0
2A_PIP,2A,PIP,3.0,0.15977912693682955,18.07059352974245,95.0267419994901,27.957389749702028,35.954261025029794,0.0,0.0
2A_THQ,2A,THQ,3.0,0.1813263557806913,20.507527700021843,92.58980782921071,32.289183551847444,40.24135876042908,0.0,0.0
3A_AMP,3A,AMP,3.0,0.2417032926102503,27.335998382861753,85.7613371463708,42.353247914183555,52.46200834326579,0.8566746126340883,1.0093861740166865
3A_BEMT,3A,BEMT,3.0,0.25400402264600713,28.727178174970252,84.3701573542623,40.95277115613826,58.12351013110846,1.3259833134684147,1.1993444576877235
3A_BENZ,3A,BENZ,3.0,0.2570582538736591,29.072603588907867,84.02473194032468,48.152562574493444,52.29439809296782,1.3967520858164482,0.9795887961859355
3A_BMAE,3A,BMAE,3.0,0.2538457240762813,28.709275028516174,84.38806050071638,47.82106674612634,51.776668653158524,1.1807210965435042,0.7598331346841478
3A_BOX,3A,BOX,3.0,0.2633808849821216,29.78767632080921,83.30965920842334,49.724374255065555,53.87738379022646,1.0652562574493445,0.6853396901072706
3A_DADP,3A,DADP,3.0,0.24472958879618595,27.678264418013352,85.4190711112192,43.340286054827175,52.465733015494635,1.0093861740166865,1.076430274135876
3A_DBUA,3A,DBUA,3.0,0.26700312872467225,30.197342436729127,82.89999309250342,43.92133492252682,61.31555423122765,0.9311680572109654,0.6331942789034565
3A_DEA,3A,DEA,3.0,0.2653084028605483,30.00567345704423,83.09166207218831,43.925059594755666,60.592967818831944,0.9609654350417163,0.6443682955899881
3A_DEGE,3A,DEGE,3.0,0.2377365166865316,26.887366595247656,86.2099689339849,46.55095351609059,46.2380810488677,0.9721394517282479,1.3334326579261024
3A_DEPA,3A,DEPA,3.0,0.23850007449344457,26.97372294873206,86.12361258050049,46.55095351609059,46.44666269368295,0.9982121573301549,1.404201430274136
3A_DETA,3A,DETA,3.0,0.2169249106078665,24.533629399666655,88.5637061295659,43.95113230035757,41.38855780691299,0.8194278903456497,0.6108462455303932
3A_DMDP,3A,DMDP,3.0,0.22967260131108463,25.975359252351396,87.12197627688116,43.03858760429082,47.21022050059595,0.942342073897497,0.6778903456495828
