label,state,amine,Ru_SASA_full,Ru_SASA_bare,Ru_SASA_cat_only,Ru_shield_amine,Ru_shield_cat,Ru_access_frac,Vbur_total_R3.0,Vfree_total_R3.0,Vfree_abs_R3.0,Vbur_total_R3.5,Vfree_total_R3.5,Vfree_abs_R3.5,Vbur_total_R4.5,Vfree_total_R4.5,Vfree_abs_R4.5,amine_N_index,Ru_N_distance,Vfree_amine_side,Vfree_opposite_side,Vfree_amine_frac,Vfree_opposite_frac,Vfree_asymmetry,H2_approach_frac,H2_min_clearance,H2_n_accessible,ligand_max_gap_deg,ligand_mean_angle_deg
2A_AMP,2A,AMP,0.0,120.76282160399161,6.469877267390988,6.469877267390988,114.29294433660063,0.0,97.18135429082241,2.818645709177588,3.187813195088893,93.71156354826687,6.2884364517331335,11.293678459084276,82.29284256686348,17.707157433136516,67.58884098509793,80,2.265154398020144,12.160124999999999,20.263499999999997,0.14191185158927094,0.23618268360804062,0.09427083201876968,0.0005,3.9546285379113404,1,179.4577281614279,105.59142379162904
2A_BEMT,2A,BEMT,0.0,120.76282160399161,8.859831930306663,8.859831930306663,111.90298967368494,0.0,96.78281436233611,3.2171856376638885,3.6385512352270126,93.45299105478941,6.547008945210592,11.75806012567378,83.72346083709621,16.276539162903788,62.128120869954785,67,2.3403676216569056,14.212124999999999,18.187875,0.16579392889483838,0.21207351147141004,0.046279582576571665,0.002,3.676825494602142,4,177.73895979348674,105.51131026517965
2A_BENZ,2A,BENZ,0.0,120.76282160399161,5.709891684204402,5.709891684204402,115.0529299197872,0.0,97.00443235995232,2.995567640047682,3.3879071848698317,93.79717200894521,6.202827991054789,11.139930474875598,85.52448766932963,14.47551233067037,55.25353828190373,67,2.6120188906859,14.944499999999998,19.504125,0.17429639834678212,0.22747490651446567,0.05317850816768355,0.0015,3.930598142622204,3,176.42790257045456,106.2245314261222
2A_BMAE,2A,BMAE,0.0,120.76282160399161,6.659873663187626,6.659873663187626,114.10294794080399,0.0,97.97843414779499,2.021565852205015,2.286337114812696,94.92114703689899,5.0788529631010135,9.121334491727538,84.57960663424801,15.420393365751991,58.86018233367315,64,2.355798594712205,10.742624999999999,18.3465,0.12539888902021037,0.21378849254729226,0.08838960352708189,0.0,,0,176.32768233071522,105.92580868912766
2A_BOX,2A,BOX,0.0,120.76282160399161,8.089846536815001,8.089846536815001,112.67297506717661,0.0,96.03694874851013,3.9630512514898726,4.482105371092942,93.06746179649646,6.93253820350354,12.45044900694009,84.10743747829108,15.892562521708925,60.66246856287444,73,2.6328455831096513,14.407874999999997,19.905749999999998,0.1681436842727165,0.2320129027182251,0.06386921844550861,0.001,3.702037043134042,2,176.7283831555249,105.32507670167635
2A_DADP,2A,DADP,0.0,120.76282160399161,6.87986948989953,6.87986948989953,113.88295211409208,0.0,97.55102800953516,2.448971990464841,2.769722069072955,94.12912318300411,5.870876816995889,10.543764821821497,82.2941993747829,17.705800625217094,67.5836620016807,87,2.290846566644305,12.001499999999998,19.291499999999996,0.14007169023515972,0.2248357786256539,0.08476408839049418,0.0,,0,178.51489250295614,105.58440626388092
2A_DBUA,2A,DBUA,0.0,120.76282160399161,9.399821686781344,9.399821686781344,111.36299991721026,0.0,97.86110697258641,2.1388930274135873,2.419031023825312,95.05218039508013,4.9478196049198715,8.886005944469332,84.9920762417506,15.007923758249405,57.28577137483069,64,2.3451627432342517,12.116249999999999,16.773749999999996,0.14141652879539904,0.19548458149779735,0.05406805270239831,0.0,,0,179.94067399787042,105.42053073432076
2A_DEA,2A,DEA,0.0,120.76282160399161,9.259824342510127,9.259824342510127,111.50299726148148,0.0,97.84155244338498,2.158447556615016,2.4411466753274027,94.9549245247857,5.045075475214304,9.06067202176763,84.84825460229246,15.151745397707543,57.83474361705868,64,2.3637166111585795,12.477374999999999,16.986375,0.14548817441265594,0.19815740777195953,0.0526692333593036,0.001,3.8648021702295314,2,179.81316272742694,105.42908690886769
2A_DEGE,2A,DEGE,0.0,120.76282160399161,4.569913309424541,4.569913309424541,116.19290829456708,0.0,97.38993593563767,2.6100640643623336,2.9519129123997914,93.2567322027581,6.743267797241899,12.110529994233815,81.36777092740535,18.632229072594654,71.11987187897563,73,2.2887052540729225,12.784499999999998,20.361375,0.1491045069868136,0.23747293839795316,0.08836843141113956,0.0005,3.9442766253427206,1,177.63397771334954,106.0676944945943
2A_DEPA,2A,DEPA,0.0,120.76282160399161,4.459915396068589,4.459915396068589,116.30290620792302,0.0,97.4607047079857,2.5392952920143017,2.8718753164874187,93.29283917256802,6.707160827431977,12.045683905656006,81.44130991663772,18.55869008336228,70.83917097776094,77,2.285997426189933,12.673124999999999,20.449125,0.1477183320220299,0.23863725876329267,0.09091892674126276,0.0005,3.9971747150511443,1,177.42079364821623,106.06365074630041
2A_DETA,2A,DETA,0.0,120.76282160399161,6.199882389153647,6.199882389153647,114.56293921483797,0.0,96.636620977354,3.3633790226460007,3.8038920583617823,93.18102404025345,6.8189759597465525,12.246497599316342,82.04698897186523,17.953011028134767,68.52727278030272,70,2.5706706894116174,13.803749999999997,21.434624999999997,0.16114416295654227,0.24975421762554564,0.08861005466900337,0.001,3.9055880110051038,2,179.7311473069011,105.45501032270103
2A_DMDP,2A,DMDP,0.0,120.76282160399161,6.519876318916425,6.519876318916425,114.24294528507518,0.0,97.1888036352801,2.8111963647199048,3.1793881849928596,93.14433469996273,6.855665300037273,12.312389592548612,80.65164770753735,19.34835229246265,73.8533393265975,93,2.279998023842126,14.056874999999998,19.828124999999996,0.163840918925298,0.23139942494781202,0.06755850602251401,0.0005,3.9971747150511443,1,179.12089064642672,105.80168461679798
2A_DMEDA,2A,DMEDA,0.0,120.76282160399161,5.999886183051915,5.999886183051915,114.7629354209397,0.0,96.69528456495829,3.3047154350417145,3.7375451038554672,93.29808050689526,6.7019194931047394,12.036270763765685,82.33707450503647,17.66292549496353,67.42000612569575,64,2.574584389644278,13.587749999999998,21.768749999999997,0.15860384494169555,0.2536773381577912,0.09507349321609565,0.0,,0,179.45638975074772,105.54128463092644
2A_EAE,2A,EAE,0.0,120.76282160399161,9.309823394035565,9.309823394035565,111.45299820995605,0.0,97.83503426698451,2.1649657330154923,2.4485185591614425,95.0259737234439,4.974026276556103,8.93307165392099,84.94567341090656,15.054326589093435,57.462892607700496,64,2.3568919494537717,12.180374999999998,16.756874999999997,0.14202510723702333,0.19548013701326825,0.05345502977624492,0.001,3.8648021702295314,2,179.7395800338438,105.39708171366483
