label,state,amine,SASA_total,SASA_amine,SASA_catalyst,amine_N_index,Ru_N_distance,SASA_amine_N,SASA_N_ratio,Sterimol_L,Sterimol_B1,Sterimol_B5
2A_AMP,2A,AMP,810.6231435225124,138.94013409513127,671.683009427381,80,2.265154398020144,0.03999957581252752,0.00028789072410956583,7.305704820113982,3.213697405853214,10.047675384315095
2A_BEMT,2A,BEMT,856.6845986477005,186.65143631211478,670.0331623355858,67,2.3403676216569056,0.0,0.0,7.529196292574132,4.516028429590371,10.150398554891321
2A_BENZ,2A,BENZ,865.0147469153156,238.8021430540217,626.2126038612939,67,2.6120188906859,0.0,0.0,5.895859113322286,4.806539463218378,10.256787085162276
2A_BMAE,2A,BMAE,801.0832201574109,135.13029720624596,665.9529229511647,64,2.355798594712205,0.0,0.0,6.029256590720993,4.79143587199189,10.13200633294015
2A_BOX,2A,BOX,857.742761496506,210.10986097201524,647.6329005244908,73,2.6328455831096513,0.0,0.0,7.4597433194935245,4.105732680411929,10.349351166677573
2A_DADP,2A,DADP,887.6428150586162,228.73964884510426,658.9031662135118,87,2.290846566644305,0.6999925767192984,0.003060215315768508,10.414324075902213,2.795033820667406,10.061713720665546
2A_DBUA,2A,DBUA,862.1532788513957,213.7904536787005,648.3628251726955,64,2.3451627432342517,0.0,0.0,7.512838015431216,3.676645324754285,10.168339534370304
2A_DEA,2A,DEA,790.7105795854004,134.56763150987555,656.1429480755249,64,2.3637166111585795,0.0,0.0,7.685980177445366,3.076924660188861,10.180793726700692
2A_DEGE,2A,DEGE,1073.6412439471833,397.15846786429734,676.482776082886,73,2.2887052540729225,0.029999681859392606,7.553579814302994e-05,15.758903922638291,6.0501184277938425,11.502172587618583
2A_DEPA,2A,DEPA,868.7232021277721,203.4705373276692,665.2526648001028,77,2.285997426189933,0.029999681859392606,0.00014743993038697826,7.820600631744713,5.50568845246864,9.877880579685126
2A_DETA,2A,DETA,831.6827425360709,168.56965265562124,663.1130898804497,70,2.5706706894116174,1.199987274375935,0.0071186435723839606,8.163760597995909,2.6133242716016083,10.297974401710643
2A_DMDP,2A,DMDP,983.3333838330876,297.8502451241556,685.4831387089317,93,2.279998023842126,0.08999904557818995,0.00030216206651324004,10.479704032398379,4.579567342992148,10.08535960859053
2A_DMEDA,2A,DMEDA,806.8836636924577,137.90040774397622,668.9832559484815,64,2.574584389644278,1.019989183219555,0.0073965639399214194,6.905464685052145,2.356573171979856,10.212419193195833
2A_EAE,2A,EAE,800.2820048568002,147.82909629628853,652.4529085605118,64,2.3568919494537717,0.0,0.0,7.520197940707084,3.1984597098319094,10.184824381483415
2A_EDA,2A,EDA,792.1527919794069,103.86968619902608,688.283105780381,64,2.5738427528891505,0.23999745487518942,0.002310563010803047,7.063256690234919,3.1550708352417627,10.289461785827235
2A_INDO,2A,INDO,805.164030627289,149.20093809634884,655.9630925309405,66,2.6709006776179454,0.0,0.0,6.7304465180402255,3.7953650660487455,10.473089657632663
2A_ISBZ,2A,ISBZ,842.5740033223084,206.5811668551352,635.992836467173,66,2.371057814689469,0.0,0.0,7.563374140977715,4.038677429407322,10.1962409635945
2A_MEPI,2A,MEPI,829.7733027698695,152.61019050765094,677.1631122622185,77,2.6016500468740986,0.0,0.0,7.398193696914994,3.7849795572228118,10.335255477214272
2A_METOX,2A,METOX,875.9115318494145,185.42846072314302,690.4830711262715,70,2.575958667176164,0.16999819720325715,0.0009167858943567229,8.75553052642834,3.869599662546278,10.266254776529
2A_MOR,2A,MOR,801.0924889133684,121.24922067951708,679.8432682338512,76,2.605737673155531,0.0,0.0,7.401254701089546,3.2488330689039557,10.348118743223612
2A_MTL,2A,MTL,803.7738390717923,147.4208655183753,656.3529735534169,64,2.31447561689511,1.2299869562353396,0.008343370878405455,7.149889744634075,3.3407532693683644,10.06614937849981
2A_NMA,2A,NMA,790.3438181200547,135.13093321344377,655.212884906611,64,2.662501291793114,0.0,0.0,6.815430314702276,3.084780601950158,10.238545372168861
2A_OCTA,2A,OCTA,842.6333969871621,181.8202841917009,660.8131127954609,70,2.566793515224784,1.2199870622822047,0.006709851256177337,8.717527175312922,2.5756530801735558,10.290432791710494
2A_OTL,2A,OTL,794.2739306013157,138.71088040684134,655.5630501944745,64,2.350748320237622,0.9599898195007577,0.006920796816263378,6.806469079456709,3.3538006804501332,10.121248307144208
2A_PIP,2A,PIP,810.4033269812855,132.56007351870673,677.8432534625788,76,2.6038717759905157,0.0,0.0,7.449736447234926,3.229997440189844,10.353046264353056
2A_THQ,2A,THQ,807.2235567708071,164.92069750498095,642.3028592658263,66,2.639207388635838,0.0,0.0,6.994088012439972,2.919155865562328,10.391090296805357
3A_AMP,3A,AMP,809.1332480736685,138.07013902033773,671.0631090533304,80,2.1746780022738994,0.24999734882832433,0.0018106547194212624,7.575738691988617,3.4019681453448927,9.97283223416821
3A_BEMT,3A,BEMT,822.8039484559225,168.5909025216501,654.2130459342723,67,2.2100028276226253,0.0,0.0,6.819254735526688,3.9193284471225898,9.846561266670417
3A_BENZ,3A,BENZ,891.6743684247132,247.51131481538408,644.1630536093292,67,2.22138503128116,0.0,0.0,7.231564910719986,5.446829762499663,9.969534090169498
3A_BMAE,3A,BMAE,800.8133448799488,138.99024301601375,661.8231018639349,64,2.212830410554998,0.0,0.0,7.202504827069276,3.837230577487122,10.096180489627676
3A_BOX,3A,BOX,852.4228420226763,205.84984088457165,646.5730011381044,73,2.2467990045395694,0.0,0.0,7.525820327605904,4.119122473991156,10.057482459412228
3A_DADP,3A,DADP,885.8128309679313,226.8196323072285,658.9931986607029,87,2.207677796716043,2.1599770938766927,0.009522884204974777,10.793354424673533,2.7262664185769294,9.978920722036767
3A_DBUA,3A,DBUA,863.043369092826,212.76044786206202,650.2829212307638,64,2.239503651564114,0.0,0.0,7.704725733201402,3.9714554668890645,10.08087943914633
3A_DEA,3A,DEA,791.620548134871,134.15752018908975,657.4630279457812,64,2.2455208226807875,0.0,0.0,7.72552157356299,3.074771326272646,10.08978669120088
3A_DEGE,3A,DEGE,1075.7814125921823,399.61845812761334,676.1629544645691,73,2.198693794612838,0.9699897134538804,0.0024272895651484792,15.472515349866677,6.4299615897804845,11.87867070029086
3A_DEPA,3A,DEPA,873.343392004781,206.6405152678888,666.7028767368923,77,2.1995652655909077,1.0399889711258126,0.0050328415498653335,7.827297384407508,5.627979176866649,9.778084862050697
3A_DETA,3A,DETA,829.9527369313423,164.73962470750752,665.2131122238347,70,2.4477696520914707,3.0999671254711805,0.018817373968012377,8.423578768501121,2.505399148853402,10.110588948316655
3A_DMDP,3A,DMDP,985.4934899679612,297.81024045162366,687.6832495163377,93,2.196935077737392,0.20999777301578465,0.000705139530115979,10.326979026803414,4.6706543988764535,10.022175960955803
3A_DMEDA,3A,DMEDA,806.4634879333744,135.12032764164348,671.3431602917309,70,2.448349663691851,3.0799673375649106,0.022794255988879637,7.184236209209363,2.4682144903961776,10.045008564702382
3A_EAE,3A,EAE,801.6720420545055,146.98905928077042,654.682982773735,64,2.2433056541853587,0.0,0.0,7.556057892911435,3.2380887665248026,10.080351972337636
3A_EDA,3A,EDA,795.5729196657996,102.93968324868607,692.6332364171135,64,2.4322749906620347,0.40999565207844657,0.0039828726797998945,7.353687961621007,3.150479175955651,10.151630176704357
3A_INDO,3A,INDO,794.5836031278792,140.20075839541673,654.3828447324627,66,2.26212435911468,0.0,0.0,6.825868211058751,3.9879968938784858,10.131586583792245
3A_ISBZ,3A,ISBZ,832.3942604193057,203.07127042417784,629.3229899951281,66,2.23781062335489,0.0,0.0,7.537056140200049,3.9371556621419312,10.1053545522295
3A_MEPI,3A,MEPI,822.8534511309128,149.27017649691382,673.583274633999,77,2.228704184184164,0.0,0.0,7.623392722034388,3.8512928491353344,10.061366703568076
3A_METOX,3A,METOX,871.6117678225434,180.78845001429102,690.8233178082526,70,2.199671265871335,0.09999893953132487,0.0005531268149232991,8.595940666132678,3.807546560849817,10.014477092795403
3A_MOR,3A,MOR,792.752603734763,118.62919705924897,674.1234066755142,76,2.2241289315849024,0.0,0.0,7.65411300593387,3.2150874623933388,10.072533773113737
3A_MTL,3A,MTL,807.9339662224335,149.69092723132803,658.2430389911057,64,2.230638617076733,1.5799832445949888,0.010554969989285512,7.180982477898119,3.2609501586532246,10.031385011080209
3A_NMA,3A,NMA,787.3635211334409,133.4505585248053,653.9129626086357,64,2.235525035645989,0.0,0.0,6.828786110254577,3.1356587115604313,9.762808497167166
3A_OCTA,3A,OCTA,838.9634347922644,177.7602584123607,661.2031763799035,70,2.207651237990276,2.1599770938766927,0.012151068597493087,9.066805894759023,2.7233506250554926,9.963388029008483
3A_OTL,3A,OTL,794.51392890529,137.0408998893739,657.4730290159162,64,2.253020778466102,1.189987380422812,0.00868344692265906,6.944894379401937,3.660139438589365,10.137778700255508
3A_PIP,3A,PIP,801.6934643068515,129.39007167815478,672.3033926286968,76,2.228662521782964,0.0,0.0,7.673914206167786,3.218763606014796,10.07870501586862
3A_THQ,3A,THQ,804.083387641818,164.02066950411776,640.0627181377002,66,2.5440676875718147,1.0299890771726778,0.006279629758167886,7.520653686880843,2.392910266005904,10.309425525640622
