state,amine,label,filepath,filename,n_atoms,n_cat_atoms,n_amine_atoms,n_extra_atoms
2A,AMP,2A_AMP,/home/chromyum/bond_energy/established/A_postprocessing/xyz_opt/2A/opt_amp_2_limcat_b3lypd3bs1.xyz,opt_amp_2_limcat_b3lypd3bs1.xyz,82,63,19,0
2A,BEMT,2A_BEMT,/home/chromyum/bond_energy/established/A_postprocessing/xyz_opt/2A/opt_bemt_2_limcat_b3lypd3bs1.xyz,opt_bemt_2_limcat_b3lypd3bs1.xyz,83,63,20,0
2A,BENZ,2A_BENZ,/home/chromyum/bond_energy/established/A_postprocessing/xyz_opt/2A/opt_benz_2_limcat_b3lypd3bs1.xyz,opt_benz_2_limcat_b3lypd3bs1.xyz,93,63,30,0
2A,BMAE,2A_BMAE,/home/chromyum/bond_energy/established/A_postprocessing/xyz_opt/2A/opt_bmae_2_limcat_b3lypd3bs1.xyz,opt_bmae_2_limcat_b3lypd3bs1.xyz,81,63,18,0
2A,BOX,2A_BOX,/home/chromyum/bond_energy/established/A_postprocessing/xyz_opt/2A/opt_box_2_limcat_b3lypd3bs1.xyz,opt_box_2_limcat_b3lypd3bs1.xyz,87,63,24,0
2A,DADP,2A_DADP,/home/chromyum/bond_energy/established/A_postprocessing/xyz_opt/2A/opt_dadp_2_limcat_b3lypd3bs1.xyz,opt_dadp_2_limcat_b3lypd3bs1.xyz,89,63,26,0
2A,DBUA,2A_DBUA,/home/chromyum/bond_energy/established/A_postprocessing/xyz_opt/2A/opt_dbua_2_limcat_b3lypd3bs1.xyz,opt_dbua_2_limcat_b3lypd3bs1.xyz,91,63,28,0
2A,DEA,2A_DEA,/home/chromyum/bond_energy/established/A_postprocessing/xyz_opt/2A/opt_dea_2_limcat_b3lypd3bs1.xyz,opt_dea_2_limcat_b3lypd3bs1.xyz,81,63,18,0
2A,DEGE,2A_DEGE,/home/chromyum/bond_energy/established/A_postprocessing/xyz_opt/2A/opt_dege_2_limcat_b3lypd3bs1.xyz,opt_dege_2_limcat_b3lypd3bs1.xyz,102,63,39,0
2A,DEPA,2A_DEPA,/home/chromyum/bond_energy/established/A_postprocessing/xyz_opt/2A/opt_depa_2_limcat_b3lypd3bs1.xyz,opt_depa_2_limcat_b3lypd3bs1.xyz,90,63,27,0
2A,DETA,2A_DETA,/home/chromyum/bond_energy/established/A_postprocessing/xyz_opt/2A/opt_deta_2_limcat_b3lypd3bs1.xyz,opt_deta_2_limcat_b3lypd3bs1.xyz,83,63,20,0
2A,DMDP,2A_DMDP,/home/chromyum/bond_energy/established/A_postprocessing/xyz_opt/2A/opt_dmdp_2_limcat_b3lypd3bs1.xyz,opt_dmdp_2_limcat_b3lypd3bs1.xyz,95,63,32,0
2A,DMEDA,2A_DMEDA,/home/chromyum/bond_energy/established/A_postprocessing/xyz_opt/2A/opt_dmeda_2_limcat_b3lypd3bs1.xyz,opt_dmeda_2_limcat_b3lypd3bs1.xyz,81,63,18,0
2A,EAE,2A_EAE,/home/chromyum/bond_energy/established/A_postprocessing/xyz_opt/2A/opt_eae_2_limcat_b3lypd3bs1.xyz,opt_eae_2_limcat_b3lypd3bs1.xyz,83,63,20,0
2A,EDA,2A_EDA,/home/chromyum/bond_energy/established/A_postprocessing/xyz_opt/2A/opt_eda_limcat_b3lypd3bs1.xyz,opt_eda_limcat_b3lypd3bs1.xyz,75,63,12,0
2A,INDO,2A_INDO,/home/chromyum/bond_energy/established/A_postprocessing/xyz_opt/2A/opt_indo_2_limcat_b3lypd3bs1.xyz,opt_indo_2_limcat_b3lypd3bs1.xyz,81,63,18,0
2A,ISBZ,2A_ISBZ,/home/chromyum/bond_energy/established/A_postprocessing/xyz_opt/2A/opt_isbz_2_limcat_b3lypd3bs1.xyz,opt_isbz_2_limcat_b3lypd3bs1.xyz,89,63,26,0
2A,MEPI,2A_MEPI,/home/chromyum/bond_energy/established/A_postprocessing/xyz_opt/2A/opt_mepi_2_limcat_b3lypd3bs1.xyz,opt_mepi_2_limcat_b3lypd3bs1.xyz,82,63,19,0
2A,METOX,2A_METOX,/home/chromyum/bond_energy/established/A_postprocessing/xyz_opt/2A/opt_metox_2_limcat_b3lypd3bs1.xyz,opt_metox_2_limcat_b3lypd3bs1.xyz,81,63,18,0
2A,MOR,2A_MOR,/home/chromyum/bond_energy/established/A_postprocessing/xyz_opt/2A/opt_mor_2_limcat_b3lypd3bs1.xyz,opt_mor_2_limcat_b3lypd3bs1.xyz,78,63,15,0
2A,MTL,2A_MTL,/home/chromyum/bond_energy/established/A_postprocessing/xyz_opt/2A/opt_mtl_2_limcat_b3lypd3bs1.xyz,opt_mtl_2_limcat_b3lypd3bs1.xyz,80,63,17,0
2A,NMA,2A_NMA,/home/chromyum/bond_energy/established/A_postprocessing/xyz_opt/2A/opt_nma_2_limcat_b3lypd3bs1.xyz,opt_nma_2_limcat_b3lypd3bs1.xyz,80,63,17,0
2A,OCTA,2A_OCTA,/home/chromyum/bond_energy/established/A_postprocessing/xyz_opt/2A/opt_octa_2_limcat_b3lypd3bs1.xyz,opt_octa_2_limcat_b3lypd3bs1.xyz,85,63,22,0
2A,OTL,2A_OTL,/home/chromyum/bond_energy/established/A_postprocessing/xyz_opt/2A/opt_otl_2_limcat_b3lypd3bs1.xyz,opt_otl_2_limcat_b3lypd3bs1.xyz,80,63,17,0
2A,PIP,2A_PIP,/home/chromyum/bond_energy/established/A_postprocessing/xyz_opt/2A/opt_pip_limcat_b3lypd3bs1.xyz,opt_pip_limcat_b3lypd3bs1.xyz,80,63,17,0
2A,THQ,2A_THQ,/home/chromyum/bond_energy/established/A_postprocessing/xyz_opt/2A/opt_thq_2_limcat_b3lypd3bs1.xyz,opt_thq_2_limcat_b3lypd3bs1.xyz,84,63,21,0
