descriptor,r,p,r2
E_int_2A,0.703495192161139,6.092518565550764e-05,0.4949054853938379
E_ES_TSH2,0.6942192526137215,8.353587748986192e-05,0.4819403706995541
E_elec_TSH2,0.6866756917265804,0.00010708316646447384,0.47152350560817763
E_CT_TSH2,0.6204329496688138,0.0007210812439594048,0.38493704503474485
E_ES_TS3A,0.5991238186929819,0.0012200235465197563,0.3589493501252611
hyd3,0.589274499437378,0.0015369303674079436,0.3472444356871724
hyd4,0.5833159941266035,0.001761155522740069,0.34025754900390776
hyd5,0.5817868939456964,0.001823034181267474,0.338475989966981
hyd2,0.5770891655827758,0.0020249591092787343,0.33303190503302443
E_int_TS3A,0.5652744095486162,0.0026194700786153794,0.3195351580905367
E_int_4A,0.5340065146906962,0.004955976276995093,0.2851629577321047
E_int_TSH2,0.5201621299374293,0.006450894656180016,0.27056864142104303
E_core_H1,0.5161439624681079,0.006949869020062558,0.26640458999227956
E_ES_4A,0.5104453248878141,0.007712804773033905,0.2605544296998261
E_ES_2A,0.48627453541678833,0.011773851150108159,0.23646292379481332
E_elec_TS3A,0.4697058475865733,0.015475202146907101,0.22062358325702122
E_elec_2A,0.452188135082867,0.020379841200913816,0.20447410950972117
E_elec_4A,0.42816832081421236,0.02909553033546654,0.18332811094886228
E_SE_frag1_5A,0.42468590318127275,0.030576835250996796,0.18035811636089338
E_int_H1,0.4245316737065656,0.030643814116066384,0.18022714198009787
E_CT_2A,0.4230933080119146,0.031274159842067564,0.1790079472844648
E_DEF_frag1_TS3A,0.41937312971427554,0.03295283803963999,0.17587382192634657
E_DEF_frag2_H1,0.4181905134527111,0.03350133216319822,0.17488330554184212
E_POL_2A,0.376736592850239,0.05781654753520394,0.14193046039240678
E_XC_2A,0.3502819023127474,0.07937578780913256,0.12269741108783712
E_CT_3A,0.32966338414915053,0.1000450817848193,0.1086779468486704
E_XC_3A,0.32446954126453637,0.10583326134534185,0.10528048320841867
E_SE_frag1_TSH2,0.3244165843864609,0.10589353023972901,0.10524612022497773
E_DEF_frag1_4A,0.3061266779658155,0.1282696360814114,0.09371354296238611
E_DEF_frag1_TS5A,0.3029319458340451,0.13250627655907496,0.09176776380680082
E_SE_frag1_TS5A,0.2982218302442239,0.13893611933472189,0.08893626003421469
E_ES_3A,0.28718193491683397,0.1548818393256674,0.08247346374257666
E_elec_3A,0.2850109298501905,0.1581645262742218,0.08123123013407021
Ex_NLMO(2)_5A,0.27983726842373347,0.1661854475982901,0.07830889679885665
E_ES_TS5A,0.2760358794836229,0.17225841176600692,0.07619580676229719
E_POL_3A,0.2724627414490964,0.17810680860200548,0.07423594547795714
E_CT_TS3A,0.26696957695011847,0.18736518385758388,0.07127275501692523
SUMEx_NLMO_5A,0.2632247034309508,0.19386431410274926,0.06928724449631199
E_SE_frag1_H1,0.25056740196383914,0.21697062708998632,0.06278402292690814
Ex_NLMO(2)_TS3A,0.2501029889855486,0.21785219713834145,0.06255150509950545
Ex_NLMO(2)_4A,0.24831732174363785,0.22126425911943484,0.06166149227793336
E_int_3A,0.24422773920302343,0.22921312478287445,0.05964718859622003
E_int_5A,0.24306563474729756,0.23150614267250277,0.059080902795106666
E_int_H3,0.2376824712909122,0.2423264731797571,0.0564929571589553
E_SE_frag1_H3,0.23347797216016183,0.251005482485848,0.054511963484021306
SUMEx_NLMO_TS3A,0.22907903123192871,0.26030051336373566,0.052477202550158975
Ex_NLMO(2)_3A,0.22729159455534967,0.26414023911063894,0.05166146895551346
SUMEx_NLMO_4A,0.2228780139726011,0.2737771608282447,0.04967460911237097
"E_pwx(1,2)_TS3A",0.21678069468150069,0.287455639955396,0.04699386958659402
E_DEF_frag1_H3,0.21522296827138707,0.2910181516486045,0.04632092607154648
E_DEF_frag1_5A,0.2139888791594671,0.2938601430852219,0.045791240403925015
E_core_5A,0.20564344124156542,0.3135341446120666,0.04228922492567317
E_SE_frag2_H1,0.20110136397186856,0.32457456919687006,0.04044175859134595
E_DEF_frag2_5A,0.1959546423320029,0.3373670190044683,0.03839822185146319
SUMEx_NLMO_3A,0.19068904805902304,0.3507639301386236,0.0363623130496564
E_core_TS5A,0.17328296268504564,0.39724634214439986,0.03002698515690692
E_XC_4A,0.16617191475662338,0.41719011210268275,0.027613105253882508
E2_int4A,0.14788944884631394,0.470919697825946,0.021871289080066508
E_DEF_frag1_H1,0.1427675085184633,0.4865862617716171,0.020382561488569487
E_SE_frag2_TS3A,0.13153510214370953,0.5218433335616859,0.0173014830959561
E_DEF_frag2_TS5A,0.12914389489279718,0.5295043066216746,0.016678145588081845
E_SE_frag1_4A,0.10780083215868141,0.6001558033935757,0.0116210194141042
E_POL_4A,0.10573181680903994,0.6072111238043549,0.01117921708574038
E_ES_H3,0.0982838616812078,0.6328897650172913,0.009659717466970787
E_SE_frag2_TS5A,0.09067787964435134,0.6595474961415315,0.008222477856795467
E_XC_TS3A,0.08041117563586792,0.6961769422983745,0.006465957167142398
E2_TS3A,0.07398892634063764,0.7194385061597325,0.005474361221040302
Ex_NLMO(3)_5A,0.05021111131559252,0.8075490714151847,0.0025211556995468234
E_pwx(2)_4A,0.04935930210855393,0.8107554126297056,0.0024363407046434963
E_core_H3,0.045924209289287046,0.8237153132109046,0.0021090329988462386
E_SE_frag2_H3,0.044973382914907774,0.8273107025306017,0.0020226051708109186
E_elec_TS5A,0.03338428299463972,0.8713846843502799,0.0011145103510661906
SUME_pwx_TS3A,0.03269331017649575,0.8740256719584938,0.0010688525302965607
E_pwx(2)_TS3A,0.030239787007355003,0.8834137870115597,0.0009144447182501964
SUME_pwx_4A,0.027565628948246518,0.8936635764955845,0.0007598638993124064
E_pwx(2)_5A,0.025423356872420786,0.9018867851933324,0.0006463470746624653
E_pwx(2)_3A,0.018303512774890986,0.929282930548752,0.0003350185799005975
E_CT_4A,0.009491796231276812,0.9632947622095712,9.00941956960807e-05
E_XC_H1,0.005211165382574719,0.9798435195605847,2.7156244644545113e-05
SUME_pwx_5A,-0.000551855623053778,0.9978652448256282,3.045446286960735e-07
"E_pwx(1,3)_5A",-0.015232501857986493,0.9411258105046401,0.00023202911285356197
E_CT_5A,-0.019522025848150017,0.9245878439856714,0.0003811094932158374
E_CT_H3,-0.01958255781658435,0.924354669389574,0.0003834765706398688
E_elec_H3,-0.0290669845420492,0.8879068740722433,0.0008448895903677272
Ex_NLMO(1)_TS3A,-0.029794027703129687,0.8851211156438776,0.0008876840867748592
E_SE_frag1_2A,-0.04382307797119294,0.8316649124792472,0.001920462162869256
SUME_pwx_3A,-0.04612882147060555,0.8229420568043182,0.0021278681702669995
E_POL_5A,-0.048283988686153155,0.8148072995794006,0.002331343563444566
E_ES_H1,-0.05362778810738758,0.7947190457987416,0.0028759396572908607
E_POL_TS3A,-0.0693868295573986,0.7362597061932595,0.0048145321160274835
E_CT_H1,-0.07359818848297178,0.720861893277586,0.0054166933479750405
E_DEF_frag1_2A,-0.08097032924764216,0.6941639235605035,0.006556194218471576
E_XC_5A,-0.08892219592683835,0.6657603091523148,0.007907156928451026
E_SE_frag2_5A,-0.09229129702260667,0.6538574220145452,0.008517683506115007
E_XC_H3,-0.09305046091624333,0.6511865391218171,0.008658388276725328
E_core_4A,-0.0978707266183149,0.6343267083354414,0.009578679128796933
E_pwx(1)_4A,-0.10589606300440067,0.6066497813253144,0.011213976159831997
Ex_NLMO(2)_2A,-0.12793349180783317,0.5334024957725343,0.016366978326144917
E_int_TS5A,-0.14106314051263666,0.49185722862547654,0.019898809611287874
E_POL_H3,-0.14485835631967547,0.48015931341489915,0.020983943395638062
E_SE_frag1_TS3A,-0.15208806098157998,0.4582744925795831,0.02313077829313679
Ex_NLMO(1)_4A,-0.15287444195610791,0.45592609853631233,0.02337059500339141
E_SE_frag2_4A,-0.15687364540791796,0.4440817838146981,0.02460934062356918
E_elec_H1,-0.15738341550518686,0.4425839283741112,0.02476953947607829
E_DEF_frag1_3A,-0.16494757315751143,0.42067872741918516,0.027207701890552587
SUMEx_NLMO_2A,-0.16987519182524452,0.40673578963240387,0.028857580797663623
"E_pwx(2,3)_5A",-0.18034485393506675,0.3779843665018488,0.03252426634086056
"E_pwx(1,2)_4A",-0.1815477454657753,0.37475797434618247,0.032959583883705935
E_pwx(1)_3A,-0.18430692916026042,0.3674177560879018,0.03396904413648526
E_pwx(1)_TS3A,-0.1857294596848733,0.36366641384438725,0.03449543219483498
E_CT_TS5A,-0.18836206193874924,0.3567834303751186,0.035480266377817204
Ex_NLMO(1)_3A,-0.19188532774206682,0.347692968349642,0.0368199790026804
E_POL_TS5A,-0.19381354463144984,0.34277686906041255,0.037563690082607
E_DEF_frag2_H3,-0.19406778282514245,0.34213179259583326,0.037662304330666654
E_SE_frag1_3A,-0.20356444829786102,0.31855850436876515,0.04143848461081253
E_elec_5A,-0.21772375219035414,0.2853123157313234,0.04740363226784674
E_ES_5A,-0.22909436231118155,0.26026773672184156,0.05248422684276692
E_XC_TS5A,-0.23663103319532094,0.24447810166103745,0.055994245871085084
E_pwx(1)_2A,-0.23701524585353143,0.2436904113143041,0.056176226767009944
E2_int3A,-0.24275388889176705,0.2321238510436098,0.05892945057207638
E_pwx(2)_2A,-0.24652804305903586,0.2247189871600084,0.06077607601451784
E_XC_TSH2,-0.25031837680520075,0.21744303896820769,0.06265928976639046
E_core_TS3A,-0.2528193897311372,0.2127298757971989,0.06391764382402465
"E_pwx(1,2)_5A",-0.26605853807361396,0.1889322238829022,0.07078714568186868
E_DEF_frag2_4A,-0.269320150832311,0.18336359735322996,0.07253334364433874
"E_pwx(1,2)_2A",-0.2827063598979111,0.16170279091424256,0.07992288592672724
Ex_NLMO(1)_2A,-0.2946461732661659,0.143965238430375,0.08681636742039545
Ex_NLMO(1)_5A,-0.29983608534214923,0.13670766182094332,0.0899016780733046
SUME_pwx_2A,-0.3048921105051456,0.1298949930857859,0.09295919904828191
E_POL_H1,-0.30566412564587525,0.12887686228849982,0.09343055770685742
E_pwx(1)_5A,-0.32014797900230785,0.11083576042107589,0.10249472845926215
"E_pwx(1,2)_3A",-0.3324274814848693,0.0970626814259018,0.11050803044637311
E_core_3A,-0.3392182453924147,0.09001843789710581,0.11506901800710846
E_DEF_frag2_TS3A,-0.3540171928174161,0.07600793182094975,0.12532817281032357
E_SE_frag2_3A,-0.3558235189543912,0.07441894531645354,0.126610376641086
E_DEF_frag2_3A,-0.36491383640696406,0.06680469796101259,0.13316210800124853
E_core_2A,-0.3825007537877894,0.0537903844375651,0.1463068266482271
E_SE_frag2_TSH2,-0.40569611876091616,0.039754071224004844,0.1645893407776714
E_DEF_frag1_TSH2,-0.4521631073409046,0.02038766126334323,0.2044514756401824
E_SE_frag2_2A,-0.45659642812281653,0.019040111273952047,0.20848029817451436
E_DEF_frag2_2A,-0.4623833532821116,0.017391574868014566,0.21379836539241004
E_POL_TSH2,-0.4778477906782052,0.013551965466273077,0.22833851105604183
WBI_4A,-0.5114841815331983,0.007568718806422793,0.26161606795868575
E2_int2A,-0.5128874843206616,0.00737767353844849,0.26305357157277687
WBI_TS3A,-0.6070690669854119,0.0010071441985241149,0.3685328520905385
WBI_2A,-0.6314410856226449,0.000541313560414959,0.39871784461230436
WBI_3A,-0.6590315490800892,0.00025093146852731626,0.434322582682902
E_core_TSH2,-0.6724060903497544,0.00016803108153270072,0.4521299503394421
E_DEF_frag2_TSH2,-0.7377326443826503,1.702405540051381e-05,0.5442494545878179
